 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Jeff S 	  Movie has a lot of great references and a few good laughs. However, its universal praise seems to be more of a response to the DCEU than a judgement of the actual movie. This movie doesn't do anything new that any Batman movie, cartoon, or comic hasn't done in the past. It just throws subtlety out the window and beats you over the head with it. Has some fun parts but left feeling both over and under stimulated.
 Remi V 	  This movie is an ad for Legos. That being said, it's a pretty good ad
 Jon H 	  This movie is somewhat funny but inundated with social engineering propaganda. Very disappointing.
 Andrei G 	  Lego continues with their right moves making this new spin-off installment as lovable as The Lego Movie.
 Bradley S 	  Kids and I LOVED it. Another win by Lego and WB
 James K 	  In 2014, Warner Bros. completely surprised audiences with "The Lego Movie"; a film based off a toy line that actually worked. Now, three years later, we have a spin-off with one of the major characters from the previously mentioned film: Batman. Yes, this is "The Lego Batman Movie", and it's just as silly as it sounds. However, there is are a few problems that sets this film apart from "The Lego Movie", which we'll get into a minute. But if you want to have a fun time at the theaters, then "The Lego Batman Movie" is right up your alley.The story involves Batman (Will Arnett) being a hero, and saving Gotham City, as always. Every criminal Batman defeats, like The Joker (Zach Galifianakis), he always gets a hero's welcome when he returns home. Or does he? Batman must learn to work together as part of a team, or else something malicious just might bring about his downfall."The Lego Batman Movie" is a fun and entertaining romp for about an hour and 40 minutes. There are quite a lot of jokes that audiences will get, especially fans of Batman, that will definitely get a good laugh. On top of this, there is a wide assortment of characters that everyone can find charming and enjoyable. Especially Batman. Will Arnett does a great job at poking fun at the Caped Crusader as well as bringing some depth to the role. Even the supporting cast that includes Michael Cera, Rosario Dawson, and Ralph Fiennes, all do great jobs with the roles they are given. There's even a few surprising cameos that if you're really careful, will get a smile on your face.The music is good as it delivers the action that the character of Batman is known for. As mentioned previously, the run time (without end credits), is about 90 minutes, and the pacing doesn't feel like it is being dragged down. The same can be said for the editing as all of the action is exciting and thrilling, just the way it should be.But what really stands out is the animation. Yes, it does look like everything is in CG, but that's the charm of the film. It does have a fakeness to it, yet it's so beautifully detailed, you have to re-watch the movie just to see all of the attention to detail.Despite everything, the movie does have one or two problems. First off, the lesson that the character of Batman learns is pretty simple and basic. It is a good lesson about getting help from people, even when you don't need it. But it's pretty obvious within the first couple of minutes what the lesson is. Also, while most of the characters are fun, Batman himself is kind of a jerk; it's not until he learns his lesson does he become a sympathetic character.In conclusion, "The Lego Batman Movie" is a fun little experience that, while may not have the same charm and wit as "The Lego Movie", still offers up some really good entertainment for those who enjoy Batman.
 Nick D 	  a lot of innuendo between Batman and the Joker, but a visual feast of color and action. lot of adult jokes but a great romp for all ages
 Mostafa A 	  EPIC. EPIC. EPIC. The best Batman since The Dark Knight.
 Dillon L 	  funny and with a lot of heart loved it
 Letitia i 	  it is very good better then the first one
 Peter C 	  The Lego Batman Movie is more than just a kiddy batman movie or comedy fest, it is everything batman is well known for in his past successful movies with Lego's own twist on it.
 Xian Guang T 	  An awesome movie filled with tons of Easter Eggs and humor, definitely would be a great film for all walks of life. Plus, it is a Dc and LEGO movie. It has it's own formula, trying hard not to like the original LEGO movie and is a great spin-off movie on it's own. It's worth the money you spent.
 Rob B 	  Best joke to slip past studio exec's eyes: Alfred driving the the manor's limo; license plate: "Wayne Car".
 Jeff S 	  I enjoyed it and kid loved it.
 Carl N 	  My first animated film in a theater, Batman superfans & geeks you will thoroughly enjoy the subtle nods, references and jokes. A fun movie.
 Reel Life R 	  No, YOU teared up at a movie filled with cartoon legos! We went back and forth whether we'd see this one, and had even officially removed it from our movie list for the year. But a random Thursday night and a movie voucher changed that. There are some hilarious moments in this movie. I expected to like some jokes, but I didn't think I would be laughing out loud. There were some definite misses peppered in where no one in any of the age groups laughed that were present. There were more of these instances than I would have liked. Another question mark for me was, well, the fact that they're legos. But I never really gave it another thought after the first couple scenes. They were pretty clever in how they incorporated it. There is an excellent message about the importance of family and friends in this movie. And did I mention the 80's music?? I think the use of that upped the score another half a point for me. Overall this movie was a great surprise and should appeal to all ages.
 Angelina R 	  3.75Humerus play scenarios with amusing movie plot; creative Lego effects and character costumes yet keep the squares effects of original Lego theme
 Ashwin A 	  Thinking of doing something different this weekend, then this the movie u wanna see.
 Mark S 	  What an absolute bore.
 alex h 	  It was awesome, funny, and i loved the references.
 Ryan V 	  The Lego Movie seemed like a crappy, overlong toy commercial on paper, but director Chris McKay somehow made it into a surprisingly entertaining sleeper hit. One of the best parts of that movie was how its version of Batman was a hilarious piss-take on the incredibly self-serious Christopher Nolan incarnation of the character, so the next obvious step was to have McKay return to helm a vehicle focusing on Lego Batman. This movie finds the Dark Knight unable to foil an elaborate plot by the Joker until he admits that he needs friends to help him out. Like the Lego Movie, it's a briskly-paced crowd-pleaser with plenty of cheeky humor, inside jokes, snappy animation, and a cast of movie star voice actors who seem to be enjoying themselves. Overall, it's a fun and endlessly rewatchable romp for kids, casual movie goers, and Batjunkies alike.
 Jason K 	  Probably the worst animated movie I've seen in years! Story was ok, animation was second class. I fell asleep a few times and ended up listening to music on my phone. My three boys like the movie.
 Blake P 	  As the ending credits rolled and I discovered that "The LEGO Batman Movie," the highly anticipated sequel to 2014's near perfect "The LEGO Movie," was written by no less than five screenwriters, I found myself distinctly unsurprised. Carrying its predecessor's clever self-referentiality but not its effortless ability to induce wheezing, oftentimes tearful laughter, it's more manufactured product than blockbusting comic masterpiece. Smartly manufactured product, mind you, but manufactured product all the same. And nothing pieced together on an assembly line ever really satisfies.  Stuffed wall to wall with both sight and verbal gags, self-effacing cracks, and sniggering one-liners, "The LEGO Batman Movie" makes for an odd case. It's in on the joke that it exists purely to lift the money lining the pockets of parents around the world, but it also can't help but resist eventually trading its barbed knowingness for the formulaic middle and final acts to have similarly characterized other films resting in the Batman cannon. Consider it intelligent and hackneyed, like an "Avengers" movie that still manages to get trapped in a finale that we've indefinitely seen before. But the film isn't without its charms, and its comic sophistication gets it mostly far, if not as luminously so as the 2014 masterstroke that came before it. "The LEGO Batman Movie," as its title suggests, gives "The LEGO Movie" side character Batman (voiced by Will Arnett) his own movie. With direct references to every single undertaking within the Batman world (there are even jabs aimed directly at the Adam West starring series of the 1960s), it's simultaneously a spoof and a universe expansion.  Here, all the action's centered around Batman's attempts to steal Superman's (Channing Tatum) Phantom Zone Projector (a machine able to transport baddies into a high in the sky, inescapable prison) to finally defeat his arch-nemesis, The Joker (Zach Galifianakis), and around the arrival of Barbara Gordon (Rosario Dawson), the new police chief who threatens Batman's standing as Gotham's greatest hero. But the storyline's mostly a mechanism to keep all the jokes from getting whisked away into self-pleasuring aimlessness. What the film's really about is Batman's determination to stay an antisocial loner for the rest of his life, and the in-the-making deconstruction of his inability to form meaningful relationships. Much of "The LEGO Batman Movie's" comic output spotlights the humorous juxtaposition between Batman's unyielding habit of taking himself much too seriously and the theatrical - almost slapstick - cheeriness of the people trying to insinuate themselves into his life. Even The Joker wants his greatest combatant to admit that he needs him. Yet only the film's first act matches "The LEGO Movie's" awe-inspiring ability to make absurd, noticeably juvenile comedy radiant. It inspires more giggles than guffaws. And in comparison to the way the first "The LEGO Movie" had countless moments that evoked the stomach aches felt after seeing Lucy and Ethel's chocolate factory mishap for the first time, "The LEGO Batman Movie" is merely canny. It knows exactly what it is, aware of its limitations and its capacity to get away with flavorsome silliness. But it's also too dependent on predicability to allow for its wisecracks to really stick, and so we're left smiling when our knees should be red from all the slaps that should have made way. Here's to hoping another sequel is kept on the shelf to curb further loss of freshness.
 Scott D 	  Best Lego movie ever. Taking on the Leftist agenda and exposing it for the farce that it is was pure genius. Brilliant. Deserves Best Picture Oscar next year.
 AW C 	  While not all the humor lands (including the endless self-referential "I'm Batman" "jokes"), The Lego Batman Movie succeeds with it's developed characters, sly comedy, and gorgeous animation.
 Kebafh A 	  I LOVED this movie. The BEST movie ever! I want MORE LEGO BATMAN!
 Harrison A 	  Lego Batman is proof that there still can be good DC films. At times the tone of the film can be a little off, but mostly it knows how to balance humor and heart. It's a wonderful film for the whole family to enjoy. Go see this in theaters and show support to filmmakers who actually try to make a good movie.
 Genesis C 	  the lego batman movie review?
 Krista K 	  Was dancing and singing to the songs loved it so much.
 Joseph N 	  Anything that isn't Batman V Superman is good enough for me.
 Marc-Andr D 	  Not as good as the lego movie, but still rather entertaining, the inclusion of guest characters was interesting, and it had a really nice balance of funny and serious moments
 Mark D 	  Sooooooo funny. What a great movie on all levels. Best Batman ever.
 Rob C 	  Made for a social justice snowflake generation. I expected more.
 Thomas R 	  Brilliant. It's brilliant. And it doesn't really need me to say it, because everyone else is saying it, but this is so much better than batman vs superman. Not because of its "tone" or because it's funny (though it is) but because it's a great, well constructed film that makes you care about batman. And it's so entertaining along the way. Just great fun. Watch it!
 George I 	  Started out wildly hilarious, ended feeling kinda maudlin, like the sappy ending of an episode of a 1970's sitcom, after a valuable lesson has been learned. The first 30-45 minutes (approx) was the movie I wanted to see. The rest of it was some old bullshit.
 Matthew H 	  The Best Lego movie I ever seen.and one of my favorite top 5 Batman movies.
 Stephen B 	  Absolutely brilliant movie with a fantastic opening sequence. Laughed so much it hurt and have to say one of the best Batman films made!
 Zack S 	  Its kind of ridiculous how great this movie is. It's the best Batman parody made by the company that made Batman. An unexpected hit.
 Stephen B 	  this was a funny film which did not take it self sericerley void for a laugh but not as good as the first 2 films
 Jason B 	  it was good but, differently a kids movie. like under 10. I like cartoons but, wouldn't watch this again; not even for free on dvd.
 Private U 	  Despues de el intento de solemnidad le caia bien este refresacamiento al encapotado de Gotica.
 Shaheer S 	  I really enjoyed the movie and there was a moral to the story and that was: teamwork
 Michael R 	  The Lego Batman Movie is big, loud, fun and full of heart. Brimming with in-jokes and easter eggs from the 75 plus years of Batman lore, The Lego Batman Movie feels fresh and exciting. A Must see for anyone who deems themselves a Batman fan.
 Danny S 	  The Movie Plays Homage To All The Batman Movies And The 1966 TV Show. . Great Cast Voices And Story. Is A Very Funny Movie . I Would Recommend This Movie To You. Fun For The Whole Family.
 Jorban J 	  The opening sequence was a 10, then the rest of the movie was a big ol' deuce.
 Kameron W 	  I'm sure I'll love it more on repeat viewings which is exactly the same way I am with The Lego Movie.
 Jonathon B 	  It has all the bright, sometimes overwhelming, pizazz of LEGO Movie, but with a more predictable and less introspective finale. Definitely more for children than it's predecessor, which found a happy balance between deep content and slapstick fun. This one contents itself with poking fun at its main character, which for hardcore batman fans will both delight and annoy. Galifanakis was a strange pick for the joker, but they seems to have made a point that none of the bad guys should be scary or really evil, which reduces the weight of the conflict. All in all it was a fun smile filled ride that could've been better.
 Derek H 	  a very interesting plot. Even better then the other lego movie
 Dwight O 	  A must see for the whole family and it doesn't let you down. It is funny, clever for all ages! Lots of Easter eggs from previous Batman movies and even a nod at the original 60's TV series! Your kids will love it and you will find yourself laughing as well! Go see it!
 Andrew H 	  Lego + Batman - Ben Affleck = Great Movie!
 Jay A 	  Lots of fun with nods to every Batman movie and villain ever---plus the old TV show, and a few characters you've never seen before. Frenetic pace with many one-liners, but good writing and an actual story keep things interesting! Even the Daleks from Dr. Who make an appearance.
 Andrew O 	  Almost excessively fast paced without the surprisingly affecting drama of its predecessor, it's a really fun adventure even though I wish it played more by its own terms.
 Ian G 	  The Lego Batman movie acts as a double sequel/franchise film of sorts since it falls under both the Lego Movie universe as it references the real world portal laying underneath Gotham city aka the table the world is built on, as well as the master build formula, along with the obvious Batman universe that it reference ad infinitum whether it be the movie universe all the way back to the Adam West '66 film. Its pretty cleaver with being able to reinvent the Bat franchise and making it fun again especially in light of the all too serious Zack Snyderverse, incorporating the ridiculous back cannon such as the Condiment King, Calender Man and some of the other E list villains from its campy days, to bringing light to the brooding nature of the character etc, and also Jerry Maguireing the relationship with the Joker how they need each other, delightfully playing on the you complete me line from the Dark Knight. The piece de resistance was when the Joker makes it to the Phantom Zone was being able to incorporate other famous WB and Universal villains to the proceedings from the Wicked Witch, Bruce the Shark, Sauron and the Gremlins to act as his henchmen to help take over Gotham. It really helps to capture the sense of play and fun from the first entry. Between this and the ever expansive nooks and cranies of the Batcave that realty has fun showing off every single Bat transpo from plane to kayak, The Lego Batman is going to be fun for every Batman fan and kid at heart. Aces
 Jorge Mauricio M 	  Very cool. As the first Lego movie Ive seen, I must admit I have felt nostalgic for the type of toy. The movie has been fun and worth it, although it is short
 Tom B 	  Fast paced humour. One of the best spoof films in years, and it's Lego!
 Mina N 	  Alright the lego movie surprised me by being an excellent movie so we'vegot the lego batman movie will be as good as the lego movie? That's what we will know firstly i liked all the voice actors they were persuasive specially zach galifianakis as the joker i didn't expect that i would love him as the joker for me he is the 4th best joker after jared leto cayse heath ledger is the best and mark hamill after him screenplay was great it presented comedy,action,and drama in a great way but my only problem is in a scene something said in the future it has to happen and something else happened i liked the songs but keep in mind that there is a short lego movie right before the movie it was so silly and boring try not to pay attention at it but my score is 9.5/10
 Ronnie L 	  Fun for kids and adults...
 Daniel S 	  Had a few Lol moments it was good, the first one was a little better.
 Andy D 	  Although there were cool in-jokes; as a lifelong Batfan I just couldn't get into a film that ridiculed everything I hold dear.
 Miguel G 	  Joyous; a treat to watch in a theatre in 4DX and Real3D
 Jacob S 	  The Lego Batman Movie has its heart in the right place and for a younger audience, they will find it really enjoyable. There is still much to the film causal fans will enjoy as well but for me, while I did like it, I didn't love it as much as the first film. Hopefully, The LEGO team can polish up their flaws before their coming releases or they could be run into the novelty of this series getting really old, really fast.
 Bernardo D 	  Holy spins offs Batman... Even when its hard to believe The Lego Batman movie have as much heart as it predecesor with a little extra of abbs
 Jonathan A 	  Over the top almost to a fault, Lego batman still pulls itself together to be a solid flick.
 Robert M 	  if the whole movie was like the first opening minutes my rating would have been better. i found myself bored hopong for an ending. in fact it was so boring the person i brought with me fell asleeo several times throughout the movie. so its a total waste of money. this lego movie shames the franchise as the games they make are entertaining and fun.
 Bradley C 	  Good funny family show for all ages
 Iqbal A 	  is'nt dark is a comedy but this is amazing the great eve lego and batman film.
 James R 	  What another great Lego film. A sort of spin off from 2014's The Lego Movie this film centers around the self centered Batman from the same film. Batman (Will Arnett) fights crime and is very good at it. After defeating the Joker (Zach Galifianakis) once again he retires to his mansion. Batman deep down is longing for a family, but never wants to lose them like he did with his parents. His butler Alfred (Ralph Fiennes) insists that he needs to get out more and realize what he is really missing. During an attack on the new commissioner Barbara Gordon (Rosario Dawson) the Joker gives up which seemingly makes Batman useless. Along with a young boy named Dick Grayson (Michael Cera) Batman works to uncover what the Joker is really up to while also realizing that maybe being part of a team and having a family isn't the worst thing that could happen. First off this movie is absolutely hilarious! More so if you get the Batman references and Easter Eggs strewn throughout the film. There's an obvious great message about friends and family here and I have to say the voice actors nail it. Will Arnett goes for the gruff egotistic Batman while Michael Cera's boyish Robin is a great pair up for the two. My only gripe is that the second act is just a little slow. Overall, if you enjoyed the Lego Movie, or are a Batman fan go out and check this one out!
 Angel Z 	  this is one if the best batman movies ever, I hope you'll enjoy this film as much as I did!!!
 DeVaughn B 	  Seriously a blast. One thing I'll always give credit to Warner Bros. for is their animation team's work. Lego Batman perfectly blended children's humor with adult, plenty of easter eggs and references, homages to past films and tv series (ALL of them), cameos and gags the kids wouldn't understand. Maybe Warner Bros. should just make all of their DC films Lego... it can't hurt them. At all. A bit fast-paced though, and the jokes after jokes after jokes can get old a bit fast when this film actually has a great Batman story behind it, the Lego aspect and immature child's film holds it back at times.
 Riquelme s 	  Acredito que, Lego Batman seja uma inspirao para os futuros filmes da DCU e da Lego.
 Mario K 	  Best movie ever but short
 John P 	  Lego has done it again. They've created a hilarious, action packed, wildly entertaining piece of pure awesomeness by combining everything that worked in their last movie with an over the top deconstruction of the superhero genre and making everyone's favorite superhero/supporting character from the last movie the star.Batman is awesome. You know, I know it, and boy does he ever know it. He beats the bad guys. All the bad guys! At once! He has the coolest moves, the coolest gadgets, the coolest, biggest, fastest vehicles. He has the best secret base of any superhero. Period. People love him. They want to be him. He will tell you this, often. He may be the most arrogant, conceited, self-absorbed hero since Stirling Archer, with whom he shares a serious fear of commitment. The only thing missing from his perfectly awesome life is someone to share it with.But that won't last for long, because this movie is really about the importance of family and changing as a person and all that stuff, which is driven home as ham fistedly and with as little subtlety as possible, because this movie doesn't understand the concept of subtlety. Every personally is dialed up to 11. Every bit of the narrative is told as broadly and absurdly as it can be. The self-sustaining, semi codependent cycle of violence between Batman and the Joker is hilariously reduced to a sappy anti romance, with the words "I hate you" bringing catharsis.And the laughs just keep on coming. As in the last Lego movie the jokes are mile a minute. There's slapstick, puns, and humorous guest appearances by every hero and villain Warner Brothers has the right to. There are references galore to current and past pop culture, Batman comics and movies, and even to the hokey plot devices being employed. At times Lego Batman is more self-referential than Tarantino. Nor is it the kind of movie to waste time getting started. In fact it may be the first movie in which the jokes start before the movie does. As before, the entire film operates on Lego Logic (copyright pending) in which anything can be broken down and rebuilt into anything else. Besides the obvious comedic fodder, this serves to further some of the most ridiculous plot points in an extremely ridiculous movie. As in more ridiculous than the giant random dance-off MC'd by Robin. There's virtually nothing this movie can't make work, because with the awesomeness of Lego and Batman combined everything is possible and logic and reason simply don't matter. So by all means go and see it. It may be the hardest you'll laugh all year.
 Brad R 	  If you're a Batman fan, this is required viewing. Holy Batman tribute, Batman!If you're not a Batman fan, you'll still have a great time, I promise.5 stars!
 Thomas N 	  very good kid friendly movie. even the adults loved it
 Matthew R 	  Entertainingly silly but less dynamic than The LEGO Movie as it wears a bit thin later on. However, as with its predecessor, it may reward repeat viewing in the future.
 Tatsuhito K 	  This might just be the most touching Batman movie ever made. The animation is top-notch, it has such great energy, and the jokes are consistently funny. I loved some of the voice acting and I had a good time watching it overall. Although it doesn't have the kind of bullshit ending that "The Lego Movie" had and it has some really positive, heartwarming messages, it does drag at times and there are a few things in the film that felt predictable. It starts out really strong but then slows down pretty quickly. Not a great film, but still a very entertaining one.
 micki p 	  waste of time and money. I have seen so many movies and all of them are better than this one!
 Nora J 	  Really enjoyed it. There was humor?, sadness, love, action and a valuable life lesson for any age. When I saw it the crowd was mainly young adults And they seemed to really like it. Well done movie.
 Amir Leo H 	  I must say its good movie, but it felt like cash cow ... no real felling no attachment at all.. its good but as soon as you went out from cinema...all is forgottenAnd box office is way lower than Lego movie ...so im not sure that im gonna be in cinema for next Lego movie
 Abel C 	  Not as good as the original Lego movie but it was still funny.
 Ash B 	  Simply the best Batman film (or film with Batman in) since 2008 and definitely the funniest Batman film ever. I literally spent 90% of this film laughing, but admittedly some of that time I was laughing whilst most of the audience remained silent because of the sheer quantity of "in" jokes. It's like the film works on 3 levels, the slapstick and obvious humour for the kids, the more subtle wordplay for the adults and the more obscure stuff for the geeks.
 Michael B 	  It was really good and funny.
 Jon C 	  the creators of the 'LEGO' Movie bring another adorable, funny entry into their collectionthis spinoff focuses on the caped crusader and his single-minded, narcissismgreat voice acting from Will Arnett to Ralph Fiennes to Michael Cera to Zach Galifinakis to Rosairo Dawson Batman saves Gotham from the worst bad guys but he thinks himself as more of a solo act when it comes to being the best; even the Joker is hurt by the fact that he doesn't think of him as his worst enemyAlfred tries to make him see that having someone close is just as important so when Robin is unexpectedly adopted by Bruce Wayne/Batman it's his chance to be just as good as well as a key member of family that Batman seems to be lackingBarbara Gordon wants to serve true justice by working with Batman despite his rejection of the ideathere's so many funny jokes, clever references and classic throwbacks to previous incarnations of the DC comic character's historyfans will spot so many easter eggs and newcomers will gobble up the animation of this toy brandit's important that we don't have to face things alone, people may go but that doesn't mean we should stop letting them in, and it's ok to change things this movie definitely pokes fun at the fact that we all love Batman even if it's overkill
 Micah T 	  Rampant homosexuality and some pedophilia; if you want your kid thinking having two dad's is the way to go then this is a movie for you and your little one. Other than that I really liked the animation style and jokes. I stayed for the whole thing because I didn't want to ruin the movie for my date.
 Alistair D 	  No doubt fun as a kids' movie, full of romp and silly humour but it requires stressing that this is a lego movie written by people who know kids, not a batman movie by batman people given a kiddie spin. I made the mistake of believing the latter going into it, mistakes were made. If you have kids, absolutely it's fun if a little drawn out, losing its way in the second half; otherwise I'd give it a miss. I get that it's a parody, I get it shouldn't be taken seriously but I found it a less than thrilling experience I won't be repeating.
 Tristan G 	  Utterly brilliant! Plenty for the adults too!
 Leslie I 	  Finally a DC movie that doesn't SUCK!
 Ruadhan M 	  Love DC. Love Batman. Love Lego. Love Lego Movie. Love Will Arnett. Love Michael Cera. Love LEGO BATMAN MOVIE
 Andrew K 	  Best movie the logo batsman I like it
 Ilja S 	  Self aware, fun poking, breath taking and incredibly funny, The Lego Batman Movie is another jewel in the Lego Fanchise, and will please all sorts of audiences. A little convoluted by the end, but that's all great stuff.
 Loren B 	  For whatever reason, we were bored silly with this movie. Batman was annoying rather than funny and.... it just stretch the "bit" on for too long.
 Dave C 	  Perhaps the greatest irony of The Lego Batman Movie's success comes from the fact that it succeeds by making fun of itself. The writers go so far as to use the general public backlash against these films to create a rather ingenious self-parody. Even if you appreciated Batman V. Superman and Suicide Squad (I liked the first, deplored the second), it would be rather difficult (I assume) to not appreciate the level of humor this provides. It is one of the best Batman films to come out in a long while. Which brings me to an important part of any discussion of this film- is it a Lego Movie or a Batman movie, and if I appreciate one, will I appreciate the other? I think the answer it yes on all accounts, although with one caveat. If you are a superhero fan, and in-particular fan, you will likely be over the moon for this film. This film was written for you and you alone (the sheer depth that it goes to purge the Batman universe is insane). If you are not there is a possibility you will grade this slightly lower than The Lego Movie of 2015. But that doesn't mean you won't enjoy it or can't enjoy it almost as much. I know that there is another stand alone lego movie planned to be released next year (Ninjago). I have a feeling an apt comparison here will be that Ninjago will end up being an onslaught of inside jokes for kids, while Lego Batman is most certainly inside jokes for adults. And I think that is perfectly fine. It might lose a few kids attention along the way, but this is the kind of film that will warrant many repeated viewings for the kid inside of you (if you happen to be of the more mature age). The casting is brilliant (especially with the Arrested Development connection). The whole Joker/Batman relationship thing is brilliant. And did I mention the inside jokes? Plan to spend a bit of time researching the film after you see it, as picking out all of things you missed is half the fun. But the half that does stick? Let's just say the first 45 minutes of the film alone gives you enough to play back for weeks and weeks and weeks and still be just as funny. The story might sit in the background a bit, but don't mistake this movie for failing to have a heart. The scene where Batman puts the new picture on the wall near the end hits just the right emotional note, and while the essential joke (of walking us through every nook and cranny of the Batman universe) does back off a bit in the second half, this is where the story gets a chance to breathe. And how about those villains (all real by the way). And further along in the film it expands not only into Superman territory, but a "there are no boundaries for who to include" territory. And it is rather wonderful. Another home run for The Lego Movie franchise.
 Matt A 	  As with The Lego Movie, this starts off very fast with the jokes and witty one liners so you definitely need to be on your toes with picking up on them. If you know your Batman lore and are up to date with the films then you will be laughing out loud to pretty much everything. Will Arnett is on fine form as Batman, in fact all of the cast are really good. The animation is as you would expect, detailed and exquisite. My only complaint is that it felt a little too long and dragged near the end, but it doesn't stop it from being such good fun. It may not be to young kids tastes, as there were some young ones around 3-6 that were getting agitated in the screening that we were in. Still a fantastic film that you will love if you loved The Lego Movie :-)
 Max S 	  I went in without seeing any trailers and just the knowledge of how well the first LEGO movie did, and LEGO Batman was a very fun watch! It captures everything I would imagine a LEGO movie being: imaginative, creative, clever, and cute. Tapping into Batman's history, the movie creates a beautiful little world where both adults and kids can go on an entirely unique adventure that is well worth the price of admission.
 Bill T 	  This was fine.. but very overwhelming! The depth of characters and art direction and jokes are all at a fever pitch here. So much so it all becomes a blur. So much so, that plots and conclusions are usually over and done with too fast for us to even care. Which is my biggest complaint about this one. Still, dazzing, and has the weirdest usage of Michael Jackson's "Man In The Mirror" ever.
 Ted S 	  I LOVED this movie. I loved its innocence, its humor, and the love the makers of it had for the film. With Batman movies getting darker and darker they are leaving me behind but this one welcomed me back to the character. See this movie!
 Callan G 	  How is the lego batman movie the best batman movie ever made? I dunno but it is!
 Josh C 	  The Lego Batman Movie is a fun ride with tons of cameo moments that will make the kid in you . It's energetic and incredibly animated, with witty humor and a sentiment that serves the movie well. Plus, it's Lego and it's Batman. What's there not to like?
 Brian S 	  Great movie, very funny and full of great puns and references if youre a fan of past batman movies or batman in general. Only suffers from being a sequel and feeling like it copies the original Lego Movie in some unnecessary ways. Overall great movie!
 Edil O 	  This movie has the best Batman song I have ever heard. It's definitely a MUST SEE if you are a fan of "The Batman" and all his lore.
 Valeria Z 	  bien hecha para nios, pero aburrida.
 Bryce P 	  Awesome, hilarious movie!
 Jared R 	  I see why this was reviewed so highly. As a true batfan I loved every joke and jab at the dark Knight and the universe and history he inhabits. Not to mention the impressive voice casting they is becoming a staple of Lego movies. will own
 Joe S 	  as die hard batman fan I loved it was funny had a sense of humor and it shows a lot of history of the famous character I love !!! the kids will love because they'll be wanting to buy the toys after watching this !! it's not as good as the first movie of this series the Lego movie but it is funny !!
 Davis W 	  Great movie, especially on Valentine's Day; also very topical
 Finn S 	  Good but not as funny as i wanted, it was more sad than i wanted
 Zaki M 	  Chaotic, funny at parts. Most of the movie we see Batman being the Batman we see on the Internet "Coz I'm Batman" meme's and etc. Robin's 'daddy' obsession is cringy. Funny cameos and references. Overall an okay and fun film but never amazing or great.
 JV T 	  This new Lego spin-off is a real tribute to all things Batman! The movie's visual overload and 100 jokes per second (especially in the first act which is a hilarious nod to Christopher Nolan's Dark Knight series) is dizzying at first but makes repeat viewings a visual treat. Will Arnett makes for an awesome campy Batman that stands heads and shoulders (figuratively speaking) with Adam West's version. The rest of the voice talents are best at playing off Arnett. Part of the fun of these Lego flicks are all the unexpected cameos that show up especially since these could never really happen in a live-action version. The dialogue is all very tongue-in-cheek that will appeal to a young audience while older fans will laugh at all the innuendos. Compared to The Lego Movie though, the emotional message is not as resonant but the fun factor compensates for that.
 Spencer P 	  In an ultra-surprising move, The Lego Batman Movie keeps on its dazzlingly rendered, frequently funny, and occasionally sobering, romp through the LEGO universe in what may be the best Batman movie ever - one that's self-aware of how the whole dang thing is more stupid than anything.
 Alora T 	  An amazing movie. So cute and funny. Will definitely buy when it comes out. Favorite Batman movie, hands down. Batman the Animater Series will always be my favorite adaptation. But this movie really was great. I hope this movies success means we get more Lego movies in the future.
 Devin D 	  Funny, good story, good message, not as good as the Lego Movie, but still good for all ages.
 Colton D 	  Hilarious and often times touching, this batman parody is beautifully animated, even if it's slightly unstructured.
 Austin M 	  4.5 stars because...I haven't laughed this much from a kid's movie in God knows how long. This movie was highly entertaining from the beginning to the end. My only complaint is that the ending definitely seemed to drag on a bit too long, with the rest of the film being so fast paced. But this movie is still hilarious.
 Justin B 	  Though it falls short of The Lego Movie's meta brilliance, this spinoff sequel shockingly succeeds at being a both a sturdy follow up and a legitimately good batman movie.
 Mike P 	  What's the password? IRONMAN SUCKS!
 Ben G 	  one of the best Batman movies ever. absolutely hilarious!!
 Paul D 	  While this did have a fair share of enjoyable moments, it somehow didn't leave me as entertained as the original Lego Movie did. This is still a movie that I am sure the kids will love. My main gripe with this movie is the villains that appear in it. They took me completely out of the movie, which I thought was great up until that point.
 Ayrton Anthony C 	  Puntaje Original: 6.5Divertida e ideal para ver en familia. The Lego Batman Movie nos ofrece una entretenida historia, que aunque hecha para chicos, tambin puede embelesar momentos hilarantes como cualquier otra ficcin del caballero oscuro.
 Daniel Y 	  The Lego Batman movie is a hilariously good time that people of all ages will enjoy, especially if you're a fan of the caped crusader and have a lot of knowledge about his funnier past. However, if you are the type of person that doesn't like references or the first lego movie, then you'll be easily annoyed by it. Also, this film isn't as perfect as its predecessor. At times it can tell a visual joke thats suppose to poke fun at corny moments in movies, but just comes off as a corny joke about a coeny subject and this movies plot is almost exactly the same as The Lego Movie's but it still works, so I can't complain too much.
 Izac V 	  A very fun, fast and funny take on Batman that I enjoyed as an adult. Kids should love it with the frenetic action and all of the lovable characters.
 Tiny T 	  What LEGO Batman manages to do is actually quite impressive. It's simultaneously both a perfect skewering of Batman's 60+ years in pop culture, and a loving celebration of it. Don't miss this one if you're a Bat-fan or if you're sick to death of him.
